id,Requirement,Name of Doc,Req/Not Req
20,"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time): display title and metadata; display the existence of a case but not its title or other metadata; do not display any case information or indicate its existence in any way, these options are presented in order of increasing security, note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.",cctns.pdf,Req
21,These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.,cctns.pdf,Req
22,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",cctns.pdf,Req
23,"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.",cctns.pdf,Req
24,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",cctns.pdf,Req
25,"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them.",cctns.pdf,Req
26,These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.,cctns.pdf,Req
27,"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.",cctns.pdf,Req
28,"The System must be able to display several entities (cases, suspects) simultaneously.",cctns.pdf,Req
29,"The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance).",cctns.pdf,Req
30,These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.,cctns.pdf,Req
31,"The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines",cctns.pdf,Req
32,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.,cctns.pdf,Req
33,"The System must allow persistent defaults for data entry where desirable. These defaults should include: user-definable values; values same as previous item; values derived from context, e.g. date, file reference, user identifier;",cctns.pdf,Req
34,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).,cctns.pdf,Req
35,"Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes: menu contents; layout of screens; use of function keys;on-screen colours, fonts and font sizes;",cctns.pdf,Req
36,The user interfaces should be designed to make them user-intuitive.,cctns.pdf,Req
37,The user interfaces of the system should comply with Standard ISO 9241.,cctns.pdf,Req
38,Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility. User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,cctns.pdf,Req
39,User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,cctns.pdf,Req
40,Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,cctns.pdf,Req
41,The application logo to be available on all pages as a link to the home page.,cctns.pdf,Req
42,"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.",cctns.pdf,Req
43,"Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next.",cctns.pdf,Req
44,General guidance on achieving self-descriptiveness is given in ISO 9241-110.,cctns.pdf,Req
45,Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.,cctns.pdf,Req
46,Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.,cctns.pdf,Req
47,"Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.",cctns.pdf,Req
48,Splash screens should be avoided unless they provide useful content or feedback about the application state to the user.,cctns.pdf,Req
49,"If a splash screen is used, a navigation option to skip it should be offered.",cctns.pdf,Req
50,"Avoiding opening unnecessary windows: additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task, opening new windows can distract, confuse or impede users for a variety of reasons, they can superimpose the primary window, hiding relevant information, they could make it cognitively more difficult to understand the navigation structure with negative effects on both usability and accessibility, they also require additional user actions for closing unwanted windows.",cctns.pdf,Req
51,Vertical scrolling should be minimized.,cctns.pdf,Req
52,"If a splash screen is used, a navigation option to skip it should be offered.",cctns.pdf,Req
53,Horizontal scrolling should be avoided wherever possible.,cctns.pdf,Req
54,"Designing for input device independence: user interfaces should be designed to allow activation of controls by a variety of input devices, the ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities.",cctns.pdf,Req
55,"In general, device independence can be achieved if the functionality is operable via a keyboard.",cctns.pdf,Req
56,"Making user interfaces robust: User interfaces should be designed to be as robust as possible in the face of changing technology, this encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.",cctns.pdf,Req
57,"Acceptable opening / download times: application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g. bandwidth between the application and the user), this is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page.",cctns.pdf,Req
58,Minimizing user error: potential user errors as well as the effort needed to recover from errors should be minimized.,cctns.pdf,Req
59,"Providing clear error messages: the content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error, Users expect error messages to be in the same language as the user interface.",cctns.pdf,Req
60,"Using appropriate formats, units of measurement or currency: when designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable.",cctns.pdf,Req
61,"Making text resizable by the user: text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171.",cctns.pdf,Req
62,Text quality: the quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.,cctns.pdf,Req
63,"Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.",cctns.pdf,Req
64,"Supporting text skimming: fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.",cctns.pdf,Req
65,"Readability of text: text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement, ISO 9241-303 shall be consulted for screen text legibility requirements.",cctns.pdf,Req
66,"Distinguishable within-page links: within-page links should be clearly distinguishable from other links that lead to a different page. ex, within-page links are shown with dashed rather than solid underlines",cctns.pdf,Req
67,Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.,cctns.pdf,Req
68,"Using familiar terminology for navigation links: navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.",cctns.pdf,Req
69,"Using descriptive link labels: the target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain. Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.",cctns.pdf,Req
70,Marking links opening new windows: links that open new browser windows or pop-up windows should be clearly marked.,cctns.pdf,Req
71,"Distinguishing navigation links from controls: navigation links should be clearly distinguishable from controls activating some action, typical action types in user interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and Hpresentation-related actions, such as sorting a list of search results.",cctns.pdf,Req
72,"Providing printable document versions: if a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g. in the expected layout, paper format, or orientation).",cctns.pdf,Req
73,"Use of “white space”: “White space” on a page i.e. space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page, while white space is an important means of visually organizing the different content elements on a page, if the distance between the blocks of information displayed becomes too large, rapid skimming of the page can be impeded.",cctns.pdf,Req
74,Selecting appropriate page lengths The length of a page should be selected so as to support the primary purpose and use of the page.,cctns.pdf,Req
75,"Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be read quickly.",cctns.pdf,Req
76,"In general, device independence can be achieved if the functionality is operable via a keyboard.",cctns.pdf,Req
77,"Using colour: colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information, color should never be the only means of coding. Some users may have difficulties in perceiving certain colors or color combinations.",cctns.pdf,Req
78,"Using frames with care: if frames are used, care should be taken to avoid possible problems, for example, those involving the use of the back button, bookmarking of pages, or scrolling of information, when frames are used, it is important to title each frame, and to describe its purpose and how frames relate to one another other.",cctns.pdf,Req
79,"Providing alternatives to frame-based presentation: if frames are used, an alternative way of presenting relevant information without frames should be provided.",cctns.pdf,Req
80,"Providing alternative text-only pages: When style sheets and/or frames are turned off it should be possible for the user to read and understand the page; alternatively, the user should be provided with an equivalent alternative text-only page.",cctns.pdf,Req
81,"Consistent page layout: pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages, overall layout schemes apply to all pages and are preferable when all pages have a similar structure, frequently, however, different pages have different purposes and types of content. In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently.",cctns.pdf,Req
82,Placing title information consistently: Page titles should be placed in a consistent location on the different pages.,cctns.pdf,Req
83,"Observing principles of human perception when designing application pages, the general principles of human perception should be taken into account.",cctns.pdf,Req
84,The International Standards mentioned below shall be consulted for guidance. Practical guidelines for presenting information to the user are to be found in ISO 9241-12.,cctns.pdf,Req
85,Guidance on selecting and using different forms of interaction techniques is to be found in ISO 9241-14 to ISO 9241-17.,cctns.pdf,Req
86,"ISO 9241-14 gives guidance about menus, ISO 9241-15 about command dialogues, ISO 9241-16 about direct manipulation and ISO 9241-17 about forms.",cctns.pdf,Req
87,Appropriate content presentation also plays a key role in accessibility.,cctns.pdf,Req
88,Linking back to the home page or landmark pages: each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,cctns.pdf,Req
89,Providing a site map: a separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.,cctns.pdf,Req
90,"Consistency between navigation components and content: If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g. highlighting) the topic currently visible in the content area.",cctns.pdf,Req
91,Placing navigation components consistently: navigation components should be placed consistently on the pages or in the framesets in the pages of the application.,cctns.pdf,Req
92,"Individualization and user adaptation : adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient, user adaptation can also be important for making the user interface more accessible, different approaches can be used for achieving these goals, like providing users with means for customizing the user interface to their personal needs i.e. individualization designing content and navigation differently for varying user groups or roles i.e. such as employees of different levels, citizens etc, monitoring the user’s behaviour and adapting to the user’s goals that are inferred from the behaviour observed, recommending information that is potentially more relevant or interesting to the specific user, based on the behaviour of all users or a user group.",cctns.pdf,Req
93,"Taking account of the users’ tasks and information needs: When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration.",cctns.pdf,Req
94,Making individualization and adaptation evident: it should be made evident to the user when individualization and/or adaptation are used.,cctns.pdf,Req
95,"Making user profiles evident: if predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident, if profiles are used, it is important to provide users with information about this concept and its implications.",cctns.pdf,Req
96,"Allowing users to see and change profiles: if user-specified profiles are used, users should be able to see, modify and delete that profile on demand.",cctns.pdf,Req
97,The System must provide adequate response times for commonly performed functions under both standard and peak conditions.,cctns.pdf,Req
98,The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system.,cctns.pdf,Req
99,"In this context, performing a search means returning a result list. It does not include retrieving the records themselves.",cctns.pdf,Req
100,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",cctns.pdf,Req
101,The International Standards mentioned below shall be consulted for guidance. Practical guidelines for presenting information to the user are to be found in ISO 9241-12.,cctns.pdf,Req
102,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",cctns.pdf,Req
103,This requirement is intended to allow for cases where cases used infrequently are stored on slower media than more active records.,cctns.pdf,Req
104,"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.",cctns.pdf,Req
105,Within the same department: data base can be updated directly without any request.,cctns.pdf,Req
106,The system should support multilingual interface,cctns.pdf,Req
107,The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network.,cctns.pdf,Req
108,The system should work even in an offline mode with the critical functionality,cctns.pdf,Req
109,The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth,cctns.pdf,Req
110,The system should be implemented using Service Oriented Architecture (SOA) and have a modular design,cctns.pdf,Req
111,The system should be developed on Open Standards,cctns.pdf,Req
112,The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user,cctns.pdf,Req
113,The system should be developed for a centralized deployment and maintenance,cctns.pdf,Req
114,The system should be developed to be deployed in a 3-tier datacenter architecture,cctns.pdf,Req
115,The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic,cctns.pdf,Req
116,The system should be extensible to provide access to the interfaces through PDA’s and mobile data terminals,cctns.pdf,Req
117,The system should adopt standardized formats and common metadata elements,cctns.pdf,Req
118,The system should be designed for access through browser-based systems and must impose minimal requirements on the client device,cctns.pdf,Req
119,The system must support multiple types of communication services for remote access,cctns.pdf,Req
120,The system should have capability to support public access to a subset of data and functionality,cctns.pdf,Req
121,The system should support multi-tier authentication where required,cctns.pdf,Req
122,The system should support SSL encrypted connections,cctns.pdf,Req
123,The system should support secure virtual private network connections,cctns.pdf,Req
124,"The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL)",cctns.pdf,Req
125,The system should run on multiple browsers,cctns.pdf,Req
126,The system should support selective encryption of the stored data,cctns.pdf,Req
127,The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures,cctns.pdf,Req
128,"The system should ensure high standards of security and access control through: a) Prevent cross-site scripting, b) Validate the incoming data / user request, c) Encode the incoming data / user request, d) Prevent SQL Injection, e) Utilize parameterized queries, f) Sanitizetheuser-inputs, g) Validate the data both at the client and server, h) Do not allow hard delete and perform only soft tagging the row for deletion.",cctns.pdf,Req
129,"The system should ensure high scalability and performance through: a) Use of cache for storing frequent data, b) Use of AJAX based technology to improve user experience.",cctns.pdf,Req
130,"Aggressive page loading to be considered based on the screen and estimate usage pattern, c) Leverage Asynchronous HTTP socket capabilities of web server for scalability and performance, d) Host all the static content (documents, images) on the web server, e) The search results should be fetched from the database in batches of 10 or 20 maximum as configured within the application, f) Display ofrecords on the screen in batches/pagedmanner, g) The search should fetch only the fields that need to be displayed to the user. Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only, h) A hierarchical cache should be configured and used for caching of results of most frequently used searches, i) Database Indexes should be applied on the key columns used for searching",cctns.pdf,Req
131,"Environmental Mode: This is the real-time operations that must react to varying degrees of readiness to full scale wartime operations such as crisis planning with the use of heterogeneous data types and sources, transfer capabilities, data management services.",dii.htm,Req
132,XML Services shall be segmented.,dii.htm,Req
133,COE sponsors shall adhere to compliance level requirements described in the I&RTS.,dii.htm,Req
134,"In the fixed (static) mode of operation (base or data processing megacenter), the data management services shall have the capability of being tuned by on-site personnel to adjust for varying workloads and sizes of associated databases.",dii.htm,Req
135,These workloads and databases are expected to change more frequently and to a greater extent than for processing associated with deployed units,dii.htm,Req
136,"In a changing (dynamic) environment, such as with deployed units, the workload and database sizes may be more predetermined (given a more precise mission) and require access to fewer data management administrative capabilities than needed in a fixed environment.",dii.htm,Req
137,The XS shall have the ability to redefine or reset names of connect descriptors to database server instances. C,dii.htm,Req
138,onnect descriptors are fully qualified object names and include address (protocol/host/port) and instance name.,dii.htm,Req
139,"In a degraded communications environment, there is a need, for example, to be able to reset session time-out values if the data management services are being accessed by users affected by the communications degradation.",dii.htm,Req
140,"At a minimum, the session time-out values shall be user definable and be able to be reset prior to initialization of a user session.",dii.htm,Req
141,The goal is to provide the option of dynamically changing session time values based on current communications performance identified by capabilities of the network management or DBMS.,dii.htm,Req
142,"End User Mode: Portion of XS services shall be used by various classes of users: data consumers, data and database managers, network information infrastructure resource managers.",dii.htm,Req
143,Some of these uses of the data management services will entail unique requirements that shall be fulfilled within the capability of XS services.,dii.htm,Req
144,"Maintenance Mode: This mode includes modification and/or addition of application data segments, user permission, privileges, and restructuring storage and memory areas.",dii.htm,Req
145,"In addition, maintenance also shall pertain to shutdown, open not-mounted and online/off-line implementations, modifications, upgrade, or other related actions.",dii.htm,Req
146,"The data management services shall support managing various types of data, database architectures and platforms that includes hardware and software at the specified sites.",dii.htm,Req
147,"Training Mode. In support of training activities, the data management services shall provide for the same processing as would be encountered in a production environment.",dii.htm,Req
148,"However, access to the database may be via a training application access to the DBMS rather than from the production mission application.",dii.htm,Req
149,The XS shall deliver inter-related components as shown in figure 3.2-1.,dii.htm,Req
150,The Registry shall provide standard APIs as specified in Appendix B.,dii.htm,Req
151,The XS function shall provide standard APIs as specified in Appendix C.,dii.htm,Req
152,"The XS shall internally interface (transparent to the operator) with the existing data elements of the DBIF, DAC, and COTS RDBMS products.",dii.htm,Req
153,The Registry software shall be portable and required to execute on COE-compliant platforms.,dii.htm,Req
154,Personnel requirements shall be determined by the developers of the system in which the XS module is embedded.,dii.htm,Req
155,Training requirements shall be determined by the developers of the system in which the XS module is embedded.,dii.htm,Req
156,"The XS developer is responsible for software maintenance, software support, and software updates. The DISA Configuration Manager (CM) is responsible for distribution of the XS product to system developers.",dii.htm,Req
157,The XS software shall be delivered in accordance with DII COE guidelines.,dii.htm,Req
158,The following table depicts the mapping of the requirements in Section 3 to their corresponding precedence and criticality code and to other related requirements within the XS SRS.,dii.htm,Req
159,"The precedence and criticality codes are the following: 1 for Essential (E), 2 for Desirable (D), 3 for Optional (O).",dii.htm,Req
160,"Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders.",gamma j.pdf,Req
161,"Customers will be able to register, log in, and log out of their accounts.",gamma j.pdf,Req
162,"Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information.",gamma j.pdf,Req
163,Products will be stored in multi-tiered categories; a category can contain sub categories or products.,gamma j.pdf,Req
164,"The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details.",gamma j.pdf,Req
165,Customers will also be able to add products into the shopping cart.,gamma j.pdf,Req
166,"The shopping cart will clearly display the number of items in the cart, along with the total cost.",gamma j.pdf,Req
167,The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation.,gamma j.pdf,Req
168,Customers will be able to confirm the order after checkout.,gamma j.pdf,Req
169,"If the order is incorrect, the customer will be able to revise and update their order.",gamma j.pdf,Req
170,The customer will then receive a confirmation email with the specific order details.,gamma j.pdf,Req
171,Customers will be presented with an unambiguous interface to assist in browsing the categories and products.,gamma j.pdf,Req
172,Customers will be able to search for products matching their search criteria.,gamma j.pdf,Req
173,"The interface will be compatible with all major web browsers such as Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari.",gamma j.pdf,Req
174,The system will implement an Application Interface to allow for various plug-ins to interact with the system.,gamma j.pdf,Req
175,The plug-in API will be well documented and specifications will be provided to plug-in developers.,gamma j.pdf,Req
176,The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations.,gamma j.pdf,Req
177,"Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system.",gamma j.pdf,Req
178,The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.,gamma j.pdf,Req
179,The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.,gamma j.pdf,Req
180,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.,gamma j.pdf,Req
181,The system shall be able to handle 1000 customers logged in concurrently at the same time.,gamma j.pdf,Req
182,The system shall be able to retrieve 200 products per second.,gamma j.pdf,Req
183,The system shall be able to add product to shopping cart in less than 2ms.,gamma j.pdf,Req
184,The system shall be able to search for a specified product in less than 1 second.,gamma j.pdf,Req
185,The system shall be able to email customer and vendor in less than 1 second.,gamma j.pdf,Req
186,The system shall be able to validate credit card in less than 2 seconds.,gamma j.pdf,Req
187,The system shall be able to acquire shipping charges in less than 2 seconds.,gamma j.pdf,Req
188,The system shall be able to restore 1000 records per second.,gamma j.pdf,Req
189,The system will do periodic backups through a live internet connection.,gamma j.pdf,Req
190,The system shall validate credit cards against fraud.,gamma j.pdf,Req
191,The system shall encrypt all sensitive information via https.,gamma j.pdf,Req
192,The system shall encrypt all customer data in database.,gamma j.pdf,Req
193,The system shall auto detect IP DOS attacks and block IP automatically.,gamma j.pdf,Req
194,The system shall detect consecutive failed login attempts.,gamma j.pdf,Req
195,The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/,gamma j.pdf,Req
196,The system shall have an availability of 99.99%.,gamma j.pdf,Req
197,The system shall perform searches via Dijkstra's shortest path algorithm.,gamma j.pdf,Req
198,"For returning customers, the system shall validate 'existing' credit card in system after each log in.",gamma j.pdf,Req
199,The system shall automatically compress image files that are too large in size.,gamma j.pdf,Req
200,The system will employ on demand asynchronous loading for faster execution of pages.,gamma j.pdf,Req
201,The system shall validate email address existence.,gamma j.pdf,Req
202,The system shall be easy to use.,gamma j.pdf,Req
203,The system shall be easy to learn.,gamma j.pdf,Req
204,"The system shall utilize help bubbles to assist managers, customers, and administrators",gamma j.pdf,Req
205,The system shall employ easy to locate buttons,gamma j.pdf,Req
206,The system shall prompt customer with friend easy to read error messages.,gamma j.pdf,Req
207,The system shall utilize consistent symbols and colors for clear notifications.,gamma j.pdf,Req
208,The system shall utilize interchangeable plugins.,gamma j.pdf,Req
209,The system shall be easily updatable for fixes and patches.,gamma j.pdf,Req
210,"The system shall create logs of all changes, updates, or fixes that are done to the site.",gamma j.pdf,Req
211,The system shall be easy to upgrade.,gamma j.pdf,Req
212,The system shall be extremely portable via the usb drive.,gamma j.pdf,Req
213,The system shall be easy to migrate or backed up via another usb drive.,gamma j.pdf,Req
214,The system should be able to run under debug mode.,gamma j.pdf,Req
215,The system should be able to run test credit card transactions.,gamma j.pdf,Req
216,The system should be able to run test shipping orders.,gamma j.pdf,Req
217,The system should be able to create test environment of weborder system.,gamma j.pdf,Req
218,The system hardware shall be fixed and patched via an internet connection.,gamma j.pdf,Req
219,Yoggie shall coordinate on future enhancement and features with our organization.,gamma j.pdf,Req
220,"The system shall adhere to the following hardware requirements: 4GB Flash ram chip, 128MB SDRAM, Intel XScale PXA270 520-MHz chipset, OS: Apache web server, Database: MySQL.",gamma j.pdf,Req
221,Inter departments: request must be approved by a DA group member and faculty group member unless it came from a higher level group.,inventory.pdf,Req
222,Inter faculties transfer: request can be made by any authorised user and approved by faculty group or higher level.,inventory.pdf,Req
223,Transfer outside university should be approved by the university group.,inventory.pdf,Req
224,"Any administrative level user or inventory user can edit an asset that belongs to its department; same thing for faculty user, or university user; in order to make modification if he is authorised to do it.",inventory.pdf,Req
225,Any DA group member or authorised inventory group member asset is owned by the department.,inventory.pdf,Req
226,Any faculty member can add all related departments inventory.,inventory.pdf,Req
227,Any university group member can add all assets in the inventory.,inventory.pdf,Req
228,A bulk entry can be used to add many assets.,inventory.pdf,Req
229,request can be made by any authorised user.,inventory.pdf,Req
230,After creation a request still pending waiting to be approved by an administrative level user according to that have this authority.,inventory.pdf,Req
231,An inventory user should check returned asset and update inventory.,inventory.pdf,Req
232,IT group members can create a new space and modify floor structure when they receive an exception request from any administrative level.,inventory.pdf,Req
233,Any administration level or authorised inventory group member can display all pending requests waiting for approval from this level and approve those requests.,inventory.pdf,Req
234,When request is treated user is notified by email.,inventory.pdf,Req
235,Request is added to the waiting for execution list.,inventory.pdf,Req
236,Inventory is updated when user receive requested asset.,inventory.pdf,Req
237,Authentication is made by user name and a password for all users.,inventory.pdf,Req
238,administrative level working on administration computer.,inventory.pdf,Req
239,Any administrative level user can delegate another user to execute some or all his authorized actions.,inventory.pdf,Req
240,And this user acquires the role of inventory administrator.,inventory.pdf,Req
241,"It is mandatory that learning time is between 2 to 4 hours at maximum, because many task are delegated to working students.",inventory.pdf,Req
242,Web interface should use clear and consistence terminology in such a way that user; with basic experience on internet and office; find the application easy to use.,inventory.pdf,Req
243,The Application should be available always at working hours. Any maintenance or backup operation should be conducted out of working time.,inventory.pdf,Req
244,The Application should be installed in any Microsoft or Unix platform.,inventory.pdf,Req
245,"Web application should available to run on browsers like IE, Firefox, Chrome, Opera or Safari.",inventory.pdf,Req
246,All user are authenticated by user name and a password.,inventory.pdf,Req
247,Permission are assigned to user according to their roles.,inventory.pdf,Req
248,Only IT team member can access and maintain data base servers locally.,inventory.pdf,Req
249,Query is killed if takes more than 1 min.,inventory.pdf,Req
250,Backup operation are executed periodically.,inventory.pdf,Req
251,It is important to design system to facilitated future evolution and facilitate maintenance operations.,inventory.pdf,Req
252,The MultiMahjongServer will be designed to reside on a central computer (server) that is connected to a TCP/IP network and has a unique IP address.,multi-mahjong.pdf,Req
253,The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with them using IP.,multi-mahjong.pdf,Req
254,The MultiMahjongServer will serve as a node for MultiMahjongClients.,multi-mahjong.pdf,Req
255,"That is, it will be able to relay data received from one MultiMahjongClient to other MultiMahjongClients that request it.",multi-mahjong.pdf,Req
256,"The MultiMahjongServer will automate the game initialisation functions (as opposed to the MultiMahjongClient doing them), such as: randomising tile order, randomising seating position and storing the ""Game Info"" database (see Figure 3.1.2).",multi-mahjong.pdf,Req
257,The MultiMahjongServer will contain a High Scores list with the names and scores of the top MultiMahjong players.,multi-mahjong.pdf,Req
